region,nature,type,text_annonce,prix,modified_date,lien
Marsa Ennassim,Location,App. 4 pièc,Appart s3 avec jardin a,4 800,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3332385
Gammart,Location,App. 3 pièc,Appartement s2 rdc avec,1 900,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3280027
Marsa Safsaf,Location,Maisons,Triplex s3 meublé à la m,4 200,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3311400
La Soukra,Vente,Maisons,Bonne occasion,40 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389084
Khaznadar,Vente,Duplex,Bonne occasion bardo,12 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3389085
Chouchet Rades,Terrain,Terrain nu,Lot de terrain  à chouchet ra,320 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3302366
El Manar 1,Location,Maisons,Villa s8 avec jardin à m,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390280
Bou Kornine,Terrain,Terrain nu,Terrain a hammam lif,380 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390699
Rades Plage,Vente,App. 2 pièc,Villa a rades plage,51 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390698
La Mannouba,Terrain,Terrain nu,Terrain sur les bails,820 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3386387
Hammamet,Location,App. 1 pièc,S0 meublé a la cit a,450,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390697
Berge Du Lac,Location,App. 2 pièc,Appartement meublé lac2,1 850,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383703
Jardins de Cart,Location,App. 3 pièc,Appartement meublé au la,2 600,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390696
Sidi Daoud,Location,App. 2 pièc,Bureau au rdc,700,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384210
Marsa Safsaf,Vente,Maisons,Villa à démolir,700 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390695
Jardins de Cart,Location,Autre,Villa à usage commercial,10 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390694
Montplaisir,Bureaux & Commer,Bureau,Bureau en 6espaces 168m,3 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381645
Charguia 2,Bureaux & Commer,Bureau,Bureau haut standing en,3 500,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384611
El Menzah 5,Bureaux & Commer,Bureau,Al villa indépendante et,4 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3383979
Hammamet,Location vacance,Maisons,Villa zayna,5 700,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390692
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé neuf à,1 250,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3379794
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 meublé avec pa,1 050,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3388194
Cite Ennasr 2,Location,App. 2 pièc,Appart s1 haut standing,850,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390460
Denden,Location,App. 2 pièc,Appartement,600,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390691
Bab Bhar,Location,App. 3 pièc,Partage appartement,220,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390091
Bab Bhar,Location,App. 3 pièc,Partage appartement,220,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390091
Ibn Sina,Location,App. 2 pièc,Joli appart s2,550,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390690
El Mourouj,Location,App. 3 pièc,Rd jardin meublée,600,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3315950
El Mourouj,Vente,App. 4 pièc,Appartement mourouj 3 2 étage,170 000,20/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3321031
